de;ate;bandeija;coluna;estante;lado
658.15M;658.15S;1;35;3;A
658.15S;658.154W;2;35;3;A
658.154W;658.3C;3;35;3;A
658.3C;658.3L;4;35;3;A
658.3M;658.3T;5;35;3;A
;;;;;
658.3V;658.3125P;1;36;3;A
658.314F;658.4L;2;36;3;A
658.4L;658.401B;3;36;3;A
658.401B;658.4012K;4;36;3;A
658.4012K;658.4012301O;5;36;3;A
;;;;;
658.4013C;658.402A;1;37;3;A
658.402G;658.402O;2;37;3;A
658.402O;548.403A;3;37;3;A
658.403D;658.403T;4;37;3;A
658.403T;658.403T;5;37;3;A
;;;;;
658.40321H;658.4038H;1;38;3;A
658.4038L;658.4038T;2;38;3;A
658.4038T;658.4038011L;3;38;3;A
658.4038011L;658.4038011S;4;38;3;A
658.4038011S;658.4038011S;5;38;3;A
;;;;;
658.40388C;658.404H;1;39;3;A
658.404K;658.4052L;2;39;3;A
658.4032I;658.4060B;3;39;3;A
658.4063D;658.4063M;4;39;3;A
658.4063N;658.42D;5;39;3;A
;;;;;
658.42E;658.4502854678C;1;40;3;A
658.452B;658.452C;2;40;3;A
658.5A;658.5G;3;40;3;A
658.5G;658.5S;4;40;3;A
658.5S;658.514M;5;40;3;A
;;;;;
514K;658.562C;1;41;3;A
658.562C;658.562L;2;41;3;A
658.562L;658.562S;3;41;3;A
658.562S;658.564M;4;41;3;A
658.64F;658.7R;5;41;3;A
;;;;;
658.78A;658.78B;1;42;3;A
658.78B;658.78H;2;42;3;A
658.78L;658.78L;3;42;3;A
658.78L;658.78S;4;42;3;A
658.78T;658.78W;5;42;3;A
;;;;;
658.8A;658.8G;1;43;3;A
658.8G;658.7K;2;43;3;A
658.8K;658.8K;3;43;3;A
658.8K;658.8M;4;43;3;A
658.8L;658.8L;5;43;3;A
;;;;;
658.8M;658.8S;1;44;3;B
658.8S;658.812C;2;44;3;B
658.812M;658.83M;3;44;3;B
658.848K;658.8708A;4;44;3;B
658.872G;690C;5;44;3;B
;;;;;
700B;745.4M;1;45;3;B
747C;770.952A;2;45;3;B
778.98A;791.092R;3;45;3;B
791.092S;792.023G;4;45;3;B
792.098161A;796.4809C;5;45;3;B
;;;;;
800E;808G;1;46;3;B
808G;808.066P;2;46;3;B
808.066S;808.6F;3;46;3;B
808.8A;808.8L;4;46;3;B
808.8M;808.8Z;5;46;3;B
;;;;;
808.8P;808.899282Z;1;47;3;B
809B;813B;2;47;3;B
813C;813G;3;47;3;B
813H;813P;4;47;3;B
813P;813W;5;47;3;B
;;;;;
813.0872M;822S;1;48;3;B
823A;823W;2;48;3;B
823.081G;841.09B;3;48;3;B
842.914K;863.3Q;4;48;3;B
868.909H;869.17P;5;48;3;B
;;;;;
869.3A;869.3B;1;49;3;B
869.3B;869.8T;2;49;3;B
869.8992E;869.915V;3;49;3;B
869.92P;869.93A;4;49;3;B
869.93A;869.93P;5;49;3;B
;;;;;
869.93T;869.935Q;1;50;3;B
869.935R;891.73T;2;50;3;B
900H;918.1V;3;50;3;B
918.1611A;927.9145S;4;50;3;B
928T;960H;5;50;3;B
;;;;;
960S;981K;1;51;3;B
981M;981.6L;2;51;3;B
981.6G;982.6R;3;51;3;B
